Branch Name,Formatted Address,Latitude,Longitude,Type
B-El Zehoor Alex Hospital,51 سيد لمعى متفرع من مسجد التائبين سيدى بشر قبلى,31.2541795,29.9952127,AL-Borg
B-Alex-ELkilo 21,وحده اداريه رقم 2 طريق اسكندريه مطروح الكيلو 21 - قسم العامريه (عماره مركز العيون),31.14036887,29.82955634,AL-Borg
B-Al Seouf,ناصيه تقاطع ش امين حسونه مع ش عادل مصطفي شوقي -برج السرايا -اعلي بنك القاهره,31.242613,29.992448,AL-Borg
B-Al Wardean,برج السلام–ش خافجي-امام صيدليه محفوظ,31.166053,29.871199,AL-Borg
B-Alex-Amiriya,برج الاطباء -أمام كوبرى العامرية بجوار مول المختار,31.016312,29.796246,AL-Borg
B-Alex-Wezara,برج المعتز فوق الحياه بلازا 514 طريق الحريه-الوزاره,31.23404217,29.95793213,AL-Borg
B-Matrouh,18 شارع التحرير تقاطع شارع الاسكندرية -برج زهره المدينه-امام حلوانى ابو الحسن الدور الاول,31.354518,27.240194,AL-Borg
B-Alex-Raml,8  شارع كلية الطب محطة الرمل,31.201283,29.902856,AL-Borg
B-Alex-Moharam Bek,22 شارع محرم بك الرئيسى امام انا ميشو -فوق حلوانى خالد,31.191597,29.91358,AL-Borg
B-Alex-Victoria, 10 شارع  الجلاء – فيكتـوريـا,31.24685,29.979629,AL-Borg
B-Alex-Smoha,90 شارع فوزى معاذ أبراج سما الحرية بجوار مسجد على بن ابى طالب,31.212438,29.940938,AL-Borg
B-Alex-Mandara,فوق كافيه دريم -برج القدس 427 شارع جمال عبد الناصرامام سوبر ماركت اولاد رجب,31.277071,30.009066,AL-Borg
B-Alex-Agamy,شارع اسكندريه مطروح بعد مسجد القويرى - برج النساجون الشرقيون,31.105847,29.781565,AL-Borg
B-Alex-Ibrahimiya,84 ش عمر لطفى - برج أراك تاور بلازا - الابراهيمية,31.21414631,29.9251091,AL-Borg
