Branch Name,Formatted Address,Latitude,Longitude,Type
Alex - Betash,"319 تنظيم ش البيطاش العمومي مع تقاطع ش القاعدة الجوية - البيطاش - العجمي , الدخيلة , الاسكندرية",31.12074372,29.78727851,Al-Mokhtabar
Alex-Agamy,طريق مطروح اسكندريه – الكيلو16 أمام سنترال العجمى – بالهانوفيل,31.10076,29.774053,Al-Mokhtabar
Alex-Amerya,شارع مسجد الشرقاوى أمام مكتب صحة العامرية - الدور الاول,54.501738,67.63553,Al-Mokhtabar
Alex-Mandara,اول شارع جمال عبدالناصر - ميدان المندرة - فوق اسماك قدورة,31.279995,30.012474,Al-Mokhtabar
Alex-Marina,هاسيندة وايت - بوابة ? - ك ???,30.828939,28.971394,Al-Mokhtabar
Alex-Moharam Bek,66 شارع محرم بك برج محرم بلازا بجوار فودافون,31.191576,29.913564,Al-Mokhtabar
Alex-Raml,12 شارع امين فكرى - بجوار القائد ابراهيم,31.202164,29.902787,Al-Mokhtabar
Alex-Roshdy,452 طريق الحريه – رشدي – اعلى صيدلية صبري,31.2286577,29.95252244,Al-Mokhtabar
Alex-Sidi Bishr,237 شارع جمال عبدالناصر - سيدى بشر - ميامى - ميدان مستشفى شرق المدينه (مستشفى جيهان),31.262241,29.993797,Al-Mokhtabar
Alex-Smoha,27ميدان  فيكتور عمانويل – سموحه – الاسكندريه,31.215312,29.945438,Al-Mokhtabar
Alex-Sporting,228 شارع بور سعيد برج زمزم,31.220398,29.932995,Al-Mokhtabar
Alex-Talat Mostafa,شارع طلعت مصطفى  طريق المطار سابقا امام نادى الطيران الحضرة الجديدة - الاسكندرية,31.10076007,29.77405309,Al-Mokhtabar
Alex-Victoria,شارع الجلاء بجوار قسم المنتزه,31.246126,29.981138,Al-Mokhtabar
