Name,Address,Latitude,Longitude,Type
IVein Clinic - 15780 - Alexandria,"Raml Station, 8 Kolayet Al Teb, St, second floor, Alexandria Governorate 5372063, Egypt",31.2009099,29.9021035,Clinics
Nouvel Age Aesthetic Clinic Alexandria Camp Shizar Branch - عيادات نوفيلاج للتجميل فرع كامب شيزار,"امام كازينو, 18 El-Gaish Rd, كامب شيزار, Bab Shar', Alexandria Governorate 21525, Egypt",31.2130177,29.9184211,Clinics
Andalusia Roushdy Clinics - عيادات أندلسية رشدي,"أمام بنزينة موبيل, 460 طريق الحرية, Fleming, El Raml 1, Alexandria Governorate 5450101, Egypt",31.2292959,29.9533911,Clinics
"German Hospital, Alexandria","56 Abd El-Salam Aref, Fleming, El Raml 1, Alexandria Governorate 5452013, Egypt",31.2370921,29.9575891,Clinics
Agial Hospital,"٢ شارع ألفريد ليان، رشدي، قسم سيدى جابر، الاسكندريه 2 Alfred Layan st, Roushdy, Sidi Gabir, Alexandria Governorate, Egypt",31.2300032,29.9492896,Clinics
Elite Clinic عيادات إيليت,"699 horya street, louran, Alexandria Governorate 21613, Egypt",31.2459377,29.9751413,Clinics
Alexandria Pediatric Center,"Al Mashroa Rd, Ezbet El-Nozha, Sidi Gaber, Alexandria Governorate 5431116, Egypt",31.2092116,29.9610248,Clinics
Nouvel Age Aesthetic Clinic Alexandria Roushdy Branch - عيادات نوفيلاج للتجميل فرع رشدي,"17 A Syria St, Roushdy, Mustafa Kamel WA Bolkli, Sidi Gaber, Alexandria Governorate 21523, Egypt",31.2301448,29.9496385,Clinics
عيادات الترا التخصصية - ULTRA clinics,"اما نقطة شرطة, ٣ شارع جواد حسني, Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Bab Shar', Alexandria Governorate 5422054, Egypt",31.2076588,29.9296278,Clinics
Clinica Amr Gabr,"33 Mostafa Kamel, Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432061, Egypt",31.2155899,29.9396495,Clinics
I Move Clinic(B),"1 Othman Ahmed Oathman, Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432068, Egypt",31.2187647,29.9441991,Clinics
Andalusia Clinics Antoniadis,"2 Admon Fermon, Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432070, Egypt",31.2080739,29.9490444,Clinics
Eternal cosmetic clinic Smuha / عيادات ايترنال التخصصية سموحه,"١ شارع فوزي, Mohammed Fawzi Moaz, Alexandria Governorate 21615, Egypt",31.2087161,29.9343317,Clinics
City Hospital,"9 serhank st, Louran, El Raml 1, Alexandria Governorate 5451112, Egypt",31.2472007,29.9750748,Clinics
Eternal Cosmetic Clinic,"بجوار جامع يحيى, 615 طريق الحرية, Abou Quer, Alexandria Governorate 21532, Egypt",31.2409894,29.9668424,Clinics
