Name,Address,Latitude,Longitude,Type
Intertek testing services,"RHWQ+H9X, Hod Sakrah WA Abu Hamad, Borg El Arab, Alexandria Governorate 5220025, Egypt",30.8465017,29.5884874,Other Labs
Alex Vet Lab (AVL),"Qetaa Maryout, Amreya 1, Alexandria Governorate 5245806, Egypt",30.9991263,29.7998405,Other Labs
Hassab lab amreya branch,"2R63+4MQ مستشفي العامرية العام امام صيدلية سيدي رافع, Al Amrereyah Gharb, Amreya 1, Alexandria Governorate 5253320, Egypt",31.0103732,29.8042168,Other Labs
معامل الشرق الاوسط - middle east labs,"2Q8W+QCG, Cairo - Alexandria Desert Rd, Al Amrereyah Gharb, Amreya 1, Alexandria Governorate 5253350, Egypt",31.0169399,29.7960636,Other Labs
Hassab Labs - Dr. Amina Hassab,"1 El-Kawthar, Al Agamy Al Bahri, Dekhela, Alexandria Governorate 5313356, Egypt",31.1023871,29.7769303,Other Labs
Hassab Labs,"11 El-Galaa, St، Victoria، Alexandria Governorate 5332154, Egypt",31.165287,29.8771881,Other Labs
Alzahraa For Medical Analysis,"13 El-Galaa, Al Wardiyan Qebli, Port al-Basal, Alexandria Governorate 5332154, Egypt",31.1656133,29.8767678,Other Labs
Medical Analysis & Blood Diseases Lab,"57 El Max St.، EL KABBARI, Port al-Basal, Alexandria Governorate 5333132, Egypt",31.176477,29.8789162,Other Labs
Hassab Labs - Dr. Amina Hassab,"21 ش امين فكرى، محطة الرمل, Port al-Basal, Alexandria Governorate 5333334, Egypt",31.1775221,29.878801,Other Labs
Hassab Labs,"42 st. Bitash Agami Bitash Agami, Alexandria Governorate, Egypt",31.1855725,29.8813951,Other Labs
Hassab Labs,"82, st, Moharam Bek, Alexandria Governorate 5413411, Egypt",31.1916027,29.9118142,Other Labs
Hassab Labs,"8 Fouad, Al Mesallah Gharb WA Sharif Basha, Al Attarin, Alexandria Governorate 5372013, Egypt",31.196082,29.9007678,Other Labs
Hassab Labs,"Ras el-Tin Palace، 13 Kasr، Building، Casablanca Bahri, Alexandria Governorate, Egypt",31.199194,29.868639,Other Labs
Nile Scan and Labs,"Alexa Tower Mall, Raml Station, 59 Safeya Zaghlol St, Alexandria Governorate, Egypt",31.1995529,29.9017576,Other Labs
Hassab Labs,"In front of El Sherief Markets، 350 Gamal Abdel Nasser St, Bab Sharqi WA Wabour Al Meyah، Miami, Alexandria Governorate 5422015, Egypt",31.2000924,29.9187387,Other Labs
اليكس لاب,"64 شارع صفية زغلول، سان ستفانو، قسم الرمل, Alexandria Governorate 5372032, Egypt",31.2003748,29.9010279,Other Labs
Dr. Salah Marzouk Lab,"البرج الطبى، 8 Kolayet Al Teb، محطة الرمل, Al Attarin, Alexandria Governorate 5372063, Egypt",31.2009099,29.9021035,Other Labs
Dr Shady Abouelnaga دكتور شادي ابوالنجا,"برج الاطباء, ٨ شارع كلية الطب, Mahta Al Raml Sq., Alexandria Governorate 5372010, Egypt",31.2010175,29.9020375,Other Labs
Ansary labs,"شقة ٥٠٤, 8 Kolayet Al Teb St., Al Mesallah Sharq, El Raml station, 5th floor, Apt 504 ٨ ش كلية الطب – محطة الرمل – الدور ٥, Alexandria Governorate 21563, Egypt",31.2010465,29.9020936,Other Labs
Hassab Labs,"18 ش كلية الطب، محطة الرمل, Al Attarin, Alexandria Governorate 5372064, Egypt",31.2014915,29.9032641,Other Labs
Al Shams Labs,"6W22+QRJ, Mahta Al Raml Sq., Al Mesallah Sharq, Al Attarin, Alexandria Governorate 5372045, Egypt",31.2019646,29.902002,Other Labs
Hassab labs معامل حساب فرع الابراهيمية,"6W4G+MWF, Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Bab Shar', Alexandria Governorate 5423030, Egypt",31.2066534,29.9273284,Other Labs
Prime speed medical (PCR) for travelling,"6W4W+XX7, Al Mahed Al Dini, Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432042, Egypt",31.2074062,29.9474269,Other Labs
معمل الدلتا للتحاليل الطبية Delta lab,"3 Kasr Al Tin, Ras at Tin, Al Gomrok, Alexandria Governorate 5321412, Egypt",31.2089685,29.8797958,Other Labs
Bassma El Sabaa Pathology Lab,"219 Abou Quer, الإبراهيمية قبلي والحضرة بقسم، Bab Shar', Alexandria Governorate 5422062, Egypt",31.2095093,29.9315448,Other Labs
Moto Lab Alex,"11 Al Hegaz street Alibrhmya, Alexandria Governorate 21500, Egypt",31.2109592,29.9296259,Other Labs
معامل الشرق الاوسط-middle east labs,"6X68+98W، شارع النصر (عادل ابو زهرة), Ezbet El-Nozha, Sidi Gaber, Alexandria Governorate 5431141, Egypt",31.2109794,29.9658237,Other Labs
Alex Lab for Medical Analysis,"50 Omar Lotfy, كامب شيزار, Bab Shar', Alexandria Governorate 5424052, Egypt",31.212813,29.9230277,Other Labs
Marzouk Labs - معامل مرزوق,"59 Omar Lotfy, Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Bab Shar', Alexandria Governorate 5424054, Egypt",31.2135565,29.9251988,Other Labs
Hassab Labs,"6W7W+JC9, Smoha Sq., Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432074, Egypt",31.2140327,29.946122,Other Labs
Al Shams Labs,"6W8W+J9V, Smoha Sq., Ezbet Saad, Sidi Gaber, Alexandria Governorate 5432063, Egypt",31.2166071,29.9459152,Other Labs
Mabaret El Asafra Labs,"17 El Obour Tower, Victor Emanuel St., Floor 1., above el warda el، SEMOUHA, Alexandria Governorate, Egypt",31.216626,29.945919,Other Labs
معامل حساب فرع سبورتينج hassab labs sporting branch,"6W9M+925, Al Ibrahimeyah Bahri WA Sidi Gaber, Bab Shar', Alexandria Governorate 5424061, Egypt",31.2183789,29.9325988,Other Labs
MASS Diagnostics,"6 شارع الطيار محمود شكري, برج الزهراء, Alexandria Governorate 21615, Egypt",31.2185809,29.945211,Other Labs
Mabaret el asafara labs sidi gaber,"22 El-Mosheer Ahmed Ismail, Mustafa Kamel WA Bolkli, Sidi Gaber, Alexandria Governorate 5433042, Egypt",31.2214876,29.9419749,Other Labs
Hassab Labs - Dr. Amina Hassab,"6WCM+MP5, Sidi Gabir, Sidi Gaber, Alexandria Governorate 5434012, Egypt",31.2216362,29.9343524,Other Labs
Alex Scan,"17 Abd El-Qader Ragab Basha, Abu an Nawatir, Sidi Gaber, Alexandria Governorate 21648, Egypt",31.2238919,29.9493907,Other Labs
Medical analysis laboratory D / Ihsan Abdel Rahman,"6WFW+RCG, Ahmed Shawqi, Mustafa Kamel WA Bolkli, Sidi Gaber, Alexandria Governorate 5433140, Egypt",31.2242332,29.9458184,Other Labs
Andalusia,"9 Mohammed Darwish El-Deeb, Abu an Nawatir, Sidi Gaber, Alexandria Governorate 5433114, Egypt",31.2244718,29.954154,Other Labs
Dr. Safwat Shaker Labs,"21 سوريا, Sidi Gabir, Sidi Gaber, Alexandria Governorate 5434017, Egypt",31.2244822,29.9365993,Other Labs
Hassab Labs,"405 Abd Al Rahman Al Naseri, Abu an Nawatir, Sidi Gaber, Alexandria Governorate 5433110, Egypt",31.2253479,29.9481247,Other Labs
Andalusia Academy,"39 Khaleel Basha, Abu an Nawatir, Sidi Gaber, Alexandria Governorate 21523, Egypt",31.2254422,29.9519169,Other Labs
Andalusia Roushdy Clinics - عيادات أندلسية رشدي,"أمام بنزينة موبيل, 460 طريق الحرية, Fleming, El Raml 1, Alexandria Governorate 5450101, Egypt",31.2292959,29.9533911,Other Labs
Elshams Labs,"6WJX+2W8, Syria, Mustafa Kamel WA Bolkli, Sidi Gaber, Alexandria Governorate 5434045, Egypt",31.2300647,29.9498638,Other Labs
Alex lab,"شارع Al Qabani Mosque, Fleming, El Raml 1, Alexandria Governorate 5450045, Egypt",31.2328981,29.9625485,Other Labs
Enovacure research lab,"18 Dr Ibrahim Refaat, Fleming, El Raml 2, Alexandria Governorate 5452012, Egypt",31.2344548,29.9532931,Other Labs
معامل الدكتور صفوت شاكر,"86 El Fath، Bakoos Tram، St, El Raml 2, Alexandria Governorate, Egypt",31.2348062,29.9645957,Other Labs
Hassab Labs,"6XPV+GWM Shama'a Square، Ayoub Baraka Tower, Al Seyouf, Alexandria Governorate, Egypt",31.2363471,29.9947858,Other Labs
Dr Geylan Fadali,"1 Rasmi Basha, Fleming, El Raml 2, Alexandria Governorate 21619, Egypt",31.2395177,29.9594637,Other Labs
Alex Lab Co-Working Space - Glim Branch,"10 Mohammed Mokbel, Fleming, قسم أول, Alexandria Governorate 21532, Egypt",31.2397233,29.9580071,Other Labs
Hassab Labs Seyouf Branch,"76 Seyouf Sq., Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5514077, Egypt",31.2407173,29.9930815,Other Labs
Hassab Labs,"20 Mohammed Basha Saeed, San Stefano, El Raml 2, Alexandria Governorate 5451102, Egypt",31.2450082,29.9704564,Other Labs
Hassab Labs,"18 Koleyet El Teb، Street, Mahatet El Raml (2, Alexandria Governorate, Egypt",31.2482223,29.9748003,Other Labs
Alex lab. H,"191 Gamal Abd El-Nasir Rd, As Soyouf Bahri, Montaza 1, Alexandria Governorate 5517027, Egypt",31.2551609,29.9847445,Other Labs
Hassab Labs - Dr. Amina Hassab,"72C2+FXM، ميامى، Montaza 2, Alexandria Governorate 5526055, Egypt",31.2712071,30.0024142,Other Labs
معمل اوميجا المندره للتحاليل الطبية,"شارع El Nabawy El Mohandes, Al Mandarah Qebli, Montaza 2, Alexandria Governorate 5524634, Egypt",31.2792695,30.0159333,Other Labs
Hassab Labs,"405 Tareek El Horreya Abu Qir، رشدي, Alexandria Governorate, Egypt",31.3114241,30.0603342,Other Labs
