id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VALUE_sum,Longitude,Latitude
hex_alex_centroids.1,,,,,,,-1,0,-1,,,2078.339844,29.596,30.92
hex_alex_centroids.2,,,,,,,-1,0,-1,,,1656.773438,29.597,31.004
hex_alex_centroids.3,,,,,,,-1,0,-1,,,1774.541748,29.597,30.998
hex_alex_centroids.4,,,,,,,-1,0,-1,,,734.616089,29.597,30.984
hex_alex_centroids.5,,,,,,,-1,0,-1,,,102.628685,29.597,30.978
hex_alex_centroids.6,,,,,,,-1,0,-1,,,3.4e-05,29.598,30.964
hex_alex_centroids.7,,,,,,,-1,0,-1,,,21.900042,29.598,30.957
hex_alex_centroids.8,,,,,,,-1,0,-1,,,216.378021,29.599,30.944
hex_alex_centroids.9,,,,,,,-1,0,-1,,,167.767136,29.599,30.937
hex_alex_centroids.10,,,,,,,-1,0,-1,,,1855.692627,29.599,30.93
hex_alex_centroids.11,,,,,,,-1,0,-1,,,55.737228,29.6,30.897
hex_alex_centroids.12,,,,,,,-1,0,-1,,,1615.736694,29.601,30.869
hex_alex_centroids.13,,,,,,,-1,0,-1,,,2347.243164,29.602,30.863
hex_alex_centroids.14,,,,,,,-1,0,-1,,,855.413452,29.602,30.856
hex_alex_centroids.15,,,,,,,-1,0,-1,,,1317.71582,29.602,30.842
hex_alex_centroids.16,,,,,,,-1,0,-1,,,509.052979,29.603,30.836
hex_alex_centroids.17,,,,,,,-1,0,-1,,,0.091115,29.603,30.829
hex_alex_centroids.18,,,,,,,-1,0,-1,,,2.322165,29.603,30.822
hex_alex_centroids.19,,,,,,,-1,0,-1,,,1.40863,29.604,30.815
hex_alex_centroids.20,,,,,,,-1,0,-1,,,474.99881,29.604,30.802
hex_alex_centroids.21,,,,,,,-1,0,-1,,,3.983522,29.604,30.795
hex_alex_centroids.22,,,,,,,-1,0,-1,,,323.593018,29.605,30.788
hex_alex_centroids.23,,,,,,,-1,0,-1,,,54.227734,29.605,30.782
hex_alex_centroids.24,,,,,,,-1,0,-1,,,0.067281,29.605,30.768
hex_alex_centroids.25,,,,,,,-1,0,-1,,,0.003145,29.606,30.761
hex_alex_centroids.26,,,,,,,-1,0,-1,,,673.884644,29.606,30.755
hex_alex_centroids.27,,,,,,,-1,0,-1,,,0.000784,29.606,30.748
hex_alex_centroids.28,,,,,,,-1,0,-1,,,0.263819,29.607,30.734
hex_alex_centroids.29,,,,,,,-1,0,-1,,,0.001554,29.607,30.728
hex_alex_centroids.30,,,,,,,-1,0,-1,,,1.7e-05,29.609,30.653
hex_alex_centroids.31,,,,,,,-1,0,-1,,,2e-06,29.62,30.37
hex_alex_centroids.32,,,,,,,-1,0,-1,,,2647.937012,29.603,31.001
hex_alex_centroids.33,,,,,,,-1,0,-1,,,819.231689,29.604,30.995
hex_alex_centroids.34,,,,,,,-1,0,-1,,,185.893173,29.604,30.988
hex_alex_centroids.35,,,,,,,-1,0,-1,,,0.963854,29.604,30.981
hex_alex_centroids.36,,,,,,,-1,0,-1,,,2e-06,29.605,30.968
hex_alex_centroids.37,,,,,,,-1,0,-1,,,0.797718,29.605,30.961
hex_alex_centroids.38,,,,,,,-1,0,-1,,,232.615494,29.605,30.954
hex_alex_centroids.39,,,,,,,-1,0,-1,,,81.308777,29.605,30.947
hex_alex_centroids.40,,,,,,,-1,0,-1,,,997.050537,29.606,30.941
hex_alex_centroids.41,,,,,,,-1,0,-1,,,3098.031982,29.606,30.927
hex_alex_centroids.42,,,,,,,-1,0,-1,,,397.442169,29.606,30.92
hex_alex_centroids.43,,,,,,,-1,0,-1,,,54.836102,29.606,30.914
hex_alex_centroids.44,,,,,,,-1,0,-1,,,41.145653,29.607,30.907
hex_alex_centroids.45,,,,,,,-1,0,-1,,,201.330917,29.607,30.887
hex_alex_centroids.46,,,,,,,-1,0,-1,,,675.621338,29.608,30.88
hex_alex_centroids.47,,,,,,,-1,0,-1,,,848.255188,29.609,30.846
hex_alex_centroids.48,,,,,,,-1,0,-1,,,2.317039,29.61,30.819
hex_alex_centroids.49,,,,,,,-1,0,-1,,,0.778577,29.61,30.812
hex_alex_centroids.50,,,,,,,-1,0,-1,,,5.377901,29.61,30.805
hex_alex_centroids.51,,,,,,,-1,0,-1,,,0.146425,29.611,30.799
hex_alex_centroids.52,,,,,,,-1,0,-1,,,0.953611,29.611,30.785
hex_alex_centroids.53,,,,,,,-1,0,-1,,,1.6e-05,29.611,30.778
hex_alex_centroids.54,,,,,,,-1,0,-1,,,5.9e-05,29.611,30.772
hex_alex_centroids.55,,,,,,,-1,0,-1,,,0.001761,29.612,30.765
hex_alex_centroids.56,,,,,,,-1,0,-1,,,8.566867,29.612,30.751
hex_alex_centroids.57,,,,,,,-1,0,-1,,,9.4e-05,29.612,30.745
hex_alex_centroids.58,,,,,,,-1,0,-1,,,0.019794,29.613,30.738
hex_alex_centroids.59,,,,,,,-1,0,-1,,,2.185951,29.613,30.731
hex_alex_centroids.60,,,,,,,-1,0,-1,,,0.000111,29.613,30.718
hex_alex_centroids.61,,,,,,,-1,0,-1,,,0.428135,29.614,30.711
hex_alex_centroids.62,,,,,,,-1,0,-1,,,0.351014,29.614,30.704
hex_alex_centroids.63,,,,,,,-1,0,-1,,,0.171761,29.614,30.697
hex_alex_centroids.64,,,,,,,-1,0,-1,,,9e-06,29.614,30.691
hex_alex_centroids.65,,,,,,,-1,0,-1,,,4.5e-05,29.615,30.677
hex_alex_centroids.66,,,,,,,-1,0,-1,,,1.3e-05,29.615,30.664
hex_alex_centroids.67,,,,,,,-1,0,-1,,,2701.628174,29.61,31.012
hex_alex_centroids.68,,,,,,,-1,0,-1,,,1236.443726,29.61,31.005
hex_alex_centroids.69,,,,,,,-1,0,-1,,,177.298096,29.61,30.998
hex_alex_centroids.70,,,,,,,-1,0,-1,,,44.889042,29.611,30.985
hex_alex_centroids.71,,,,,,,-1,0,-1,,,1.2e-05,29.611,30.971
hex_alex_centroids.72,,,,,,,-1,0,-1,,,38.186253,29.611,30.964
hex_alex_centroids.73,,,,,,,-1,0,-1,,,176.518997,29.612,30.951
hex_alex_centroids.74,,,,,,,-1,0,-1,,,70.711929,29.612,30.944
hex_alex_centroids.75,,,,,,,-1,0,-1,,,803.124634,29.612,30.937
hex_alex_centroids.76,,,,,,,-1,0,-1,,,920.067627,29.613,30.931
hex_alex_centroids.77,,,,,,,-1,0,-1,,,108.383278,29.613,30.924
hex_alex_centroids.78,,,,,,,-1,0,-1,,,7.308068,29.613,30.91
hex_alex_centroids.79,,,,,,,-1,0,-1,,,223.979706,29.614,30.904
hex_alex_centroids.80,,,,,,,-1,0,-1,,,10.914024,29.614,30.897
hex_alex_centroids.81,,,,,,,-1,0,-1,,,333.893097,29.614,30.89
hex_alex_centroids.82,,,,,,,-1,0,-1,,,594.397888,29.615,30.877
hex_alex_centroids.83,,,,,,,-1,0,-1,,,817.181519,29.615,30.87
hex_alex_centroids.84,,,,,,,-1,0,-1,,,1015.058594,29.615,30.863
hex_alex_centroids.85,,,,,,,-1,0,-1,,,436.560883,29.615,30.856
hex_alex_centroids.86,,,,,,,-1,0,-1,,,23.818539,29.616,30.836
hex_alex_centroids.87,,,,,,,-1,0,-1,,,56.32798,29.616,30.829
hex_alex_centroids.88,,,,,,,-1,0,-1,,,8e-06,29.617,30.796
hex_alex_centroids.89,,,,,,,-1,0,-1,,,0.471595,29.618,30.789
hex_alex_centroids.90,,,,,,,-1,0,-1,,,0.046645,29.618,30.769
hex_alex_centroids.91,,,,,,,-1,0,-1,,,0.000103,29.619,30.762
hex_alex_centroids.92,,,,,,,-1,0,-1,,,0.000333,29.619,30.755
